Mode,Num. of Files to Search,Number of Threads,Time(sec),WordSearched,WordCount
Multi-threaded,125,2,3.497048,quasi,189419
Multi-threaded,125,2,2.644729,quasi,189419
Multi-threaded,125,2,2.563937,quasi,189419
Multi-threaded,125,5,1.531007,quasi,189419
Multi-threaded,125,5,1.745395,quasi,189419
Multi-threaded,125,5,1.509871,quasi,189419
Multi-threaded,125,10,1.438223,quasi,189419
Multi-threaded,125,10,1.360875,quasi,189419
Multi-threaded,125,10,1.446934,quasi,189419
Multi-threaded,125,15,1.663106,quasi,189419
Multi-threaded,125,15,1.634606,quasi,189419
Multi-threaded,125,15,1.574114,quasi,189419
Multi-threaded,125,20,1.717933,quasi,189419
Multi-threaded,125,20,1.679484,quasi,189419
Multi-threaded,125,20,1.748383,quasi,189419
Multi-threaded,250,2,5.811968,quasi,370847
Multi-threaded,250,2,5.329681,quasi,370847
Multi-threaded,250,2,4.695761,quasi,370847
Multi-threaded,250,5,3.346785,quasi,370847
Multi-threaded,250,5,3.118588,quasi,370847
Multi-threaded,250,5,3.124909,quasi,370847
Multi-threaded,250,10,2.740787,quasi,370847
Multi-threaded,250,10,2.655051,quasi,370847
Multi-threaded,250,10,2.652341,quasi,370847
Multi-threaded,250,15,2.716081,quasi,370847
Multi-threaded,250,15,2.716812,quasi,370847
Multi-threaded,250,15,2.856588,quasi,370847
Multi-threaded,250,20,3.008227,quasi,370847
Multi-threaded,250,20,2.925171,quasi,370847
Multi-threaded,250,20,3.151458,quasi,370847
Multi-threaded,500,2,10.347157,quasi,742387
Multi-threaded,500,2,10.517678,quasi,742387
Multi-threaded,500,2,10.353622,quasi,742387
Multi-threaded,500,5,6.4590651,quasi,742387
Multi-threaded,500,5,6.2156912,quasi,742387
Multi-threaded,500,5,6.2361101,quasi,742387
Multi-threaded,500,10,5.2271508,quasi,742387
Multi-threaded,500,10,5.3825208,quasi,742387
Multi-threaded,500,10,5.0289416,quasi,742387
Multi-threaded,500,15,5.0945303,quasi,742387
Multi-threaded,500,15,4.5944502,quasi,742387
Multi-threaded,500,15,5.1520409,quasi,742387
Multi-threaded,500,20,5.1446107,quasi,742387
Multi-threaded,500,20,5.2808842,quasi,742387
Multi-threaded,500,20,5.0273501,quasi,742387
Multi-threaded,1000,2,22.4065106,quasi,1499829
Multi-threaded,1000,2,22.0404871,quasi,1499829
Multi-threaded,1000,2,22.8605261,quasi,1499829
Multi-threaded,1000,5,14.7547301,quasi,1499829
Multi-threaded,1000,5,14.0523696,quasi,1499829
Multi-threaded,1000,5,12.6629303,quasi,1499829
Multi-threaded,1000,10,13.9569963,quasi,1499829
Multi-threaded,1000,10,13.7340411,quasi,1499829
Multi-threaded,1000,10,10.2137165,quasi,1499829
Multi-threaded,1000,15,15.9670901,quasi,1499829
Multi-threaded,1000,15,11.0108921,quasi,1499829
Multi-threaded,1000,15,15.6805532,quasi,1499829
Multi-threaded,1000,20,13.0669999,quasi,1499829
Multi-threaded,1000,20,14.8561178,quasi,1499829
Multi-threaded,1000,20,23.8775128,quasi,1499829
